9.830999970436096191e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.194000124931335449e-01,9.786999821662902832e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.013000011444091797e-01,8.828999996185302734e-01,9.769999980926513672e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.451999962329864502e-01,7.433000206947326660e-01,9.452000260353088379e-01,9.763000011444091797e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.842999994754791260e-01,5.156999826431274414e-01,8.389000296592712402e-01,9.221000075340270996e-01,9.751999974250793457e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.230000048875808716e-01,4.032999873161315918e-01,6.302999854087829590e-01,7.659000158309936523e-01,8.586000204086303711e-01,9.757999777793884277e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.477999985218048096e-01,3.086000084877014160e-01,3.700999915599822998e-01,5.882999897003173828e-01,7.490000128746032715e-01,9.301999807357788086e-01,9.761999845504760742e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.433999985456466675e-01,2.337999939918518066e-01,3.409000039100646973e-01,4.223999977111816406e-01,6.771000027656555176e-01,7.621999979019165039e-01,9.393000006675720215e-01,9.725999832153320312e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.225999966263771057e-01,1.451999992132186890e-01,2.213999927043914795e-01,2.417999953031539917e-01,5.141999721527099609e-01,6.065999865531921387e-01,7.265999913215637207e-01,9.348000288009643555e-01,9.715999960899353027e-01,0.000000000000000000e+00
9.910000115633010864e-02,1.699000000953674316e-01,2.073000073432922363e-01,2.278999984264373779e-01,3.596999943256378174e-01,4.264000058174133301e-01,5.486000180244445801e-01,7.899000048637390137e-01,9.409999847412109375e-01,9.713000059127807617e-01
